kode_mk,khs_course,grade_weight,matched_course_name,match_confidence,included
-,Pemodelan Proses Bisnis,0.85,Pemodelan Proses Bisnis,1.0,True
BBK1AAB4,Algoritma dan Pemrograman,0.85,Algoritma dan Pemrograman,1.0,True
BBK1DAB3,Pengantar Sistem Informasi,0.85,Pengantar Sistem Informasi,1.0,True
BBK1EAB3,Sistem Enterprise,0.8,Sistem Enterprise,1.0,True
BBK1GAB3,Jaringan Komputer,0.7,Jaringan Komputer,1.0,True
BBK1JAB3,Pemrograman Berorientasi Objek,0.85,Pemrograman Berorientasi Objek,1.0,True
BBK1LAB3,Sistem Basis Data,0.7,Sistem Basis Data,1.0,True
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,0.7,Analisis dan Perancangan Sistem Informasi,1.0,True
BBK2DAB3,Pengembangan Aplikasi Website,0.6,Pengembangan Aplikasi Website,1.0,True
BBK2EAB3,Perancangan Interaksi,0.85,Perancangan Interaksi,1.0,True
BBK2FAB3,Sistem Operasi,0.6,Sistem Operasi,1.0,True
BBK2HAB3,Integrasi Aplikasi Enterprise,0.85,Integrasi Aplikasi Enterprise,1.0,True
BBK2IAB3,Keamanan Sistem Informasi,0.8,Keamanan Sistem Informasi,1.0,True
BBK2JAB3,Manajemen Proyek Sistem Informasi,0.7,Manajemen Proyek Sistem Informasi,1.0,True
BBK2LAB3,Penambangan Data,0.8,Penambangan Data,1.0,True
BBK2NAB3,Rekayasa Proses Bisnis,0.7,Rekayasa Proses Bisnis,1.0,True
BBK3AAB3,Arsitektur Enterprise,0.85,Arsitektur Enterprise,1.0,True
BBK3BAB3,Data Warehouse dan Business Intelligence,0.85,Data Warehouse dan Business Intelligence,1.0,True
BBK3EAB3,Proyek Perangkat Lunak,0.8,Proyek Perangkat Lunak,1.0,True
BBK3FAB3,Sistem Informasi Akuntansi,0.85,Sistem Informasi Akuntansi,1.0,True
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,0.85,Tata Kelola dan Manajemen Teknologi Informasi,1.0,True
BBK4EBB3,Pengembangan Sistem Cerdas,0.85,Pengembangan Sistem Cerdas,1.0,True
